,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
29,Myotis_capaccinii,EstExtentOccurrence,5387022,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
30,Myotis_dasycneme,EstExtentOccurrence,9315566,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
31,Myotis_emarginatus,EstExtentOccurrence,15654608,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
32,Myotis_myotis,EstExtentOccurrence,7071111,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
33,Myotis_mystacinus,EstExtentOccurrence,13823224,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
34,Myotis_nattereri,EstExtentOccurrence,16030693,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
35,Myotis_punicus,EstExtentOccurrence,1848074,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
36,Nyctalus_azoreum,EstExtentOccurrence,31023,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
37,Nyctalus_lasiopterus,EstExtentOccurrence,8955906,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
38,Nyctalus_leisleri,EstExtentOccurrence,20171114,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
