,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
38,Plecotus_auritus,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
39,Plecotus_austriacus,FirstMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
40,Plecotus_kolombatovici,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
41,Plecotus_macrobullaris,FirstMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
42,Plecotus_sardus,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
43,Plecotus_teneriffae,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
44,Vespertilio_murinus,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
45,Miniopterus_schreibersii,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
46,Tadarida_teniotis,FirstMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
47,Rousettus_aegyptiacus,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
48,Rhinolophus_euryale,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
49,Rhinolophus_ferrumequinum,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
50,Rhinolophus_hipposideros,SecondMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
51,Barbastella_barbastellus,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
52,Eptesicus_anatolicus,SecondMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
53,Eptesicus_bottae,SecondMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
54,Eptesicus_nilssonii,SecondMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
55,Eptesicus_serotinus,SecondMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
56,Hypsugo_savii,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
57,Myotis_blythii,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
58,Myotis_myotis,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
59,Myotis_daubentonii,SecondMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
60,Myotis_davidii,SecondMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
61,Myotis_mystacinus,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
62,Myotis_nattereri,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
63,Myotis_punicus,SecondMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
64,Nyctalus_leisleri,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
65,Nyctalus_azoreum,SecondMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
66,Pipistrellus_kuhlii,SecondMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
67,Pipistrellus_maderensis,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
68,Pipistrellus_nathusii,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
