verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
Rhinolophus_euryale,LitterSize,1,NA,NA,NA,NA,individual,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rhinolophus_ferrumequinum,LitterSize,1,NA,NA,NA,NA,individual,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rhinolophus_hipposideros,LitterSize,1,NA,NA,NA,NA,individual,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rousettus_aegyptiacus,LitterSize,1,NA,NA,NA,NA,individual,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Tadarida_teniotis,LitterSize,1,NA,NA,NA,NA,individual,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rousettus_aegyptiacus,SexualMaturityFemale,365,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rousettus_aegyptiacus,SexualMaturityMale,365,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Miniopterus_schreibersii,SexualMaturityFemale,577,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Myotis_daubentonii,SexualMaturityFemale,730,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Myotis_emarginatus,SexualMaturityFemale,456,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Myotis_myotis,SexualMaturityFemale,502,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Myotis_mystacinus,SexualMaturityFemale,365,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Nyctalus_noctula,SexualMaturityFemale,90,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Pipistrellus_nathusii,SexualMaturityFemale,91,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Pipistrellus_pipistrellus,SexualMaturityFemale,456,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Plecotus_auritus,SexualMaturityFemale,365,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rhinolophus_euryale,SexualMaturityFemale,821,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rhinolophus_ferrumequinum,SexualMaturityFemale,730,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rhinolophus_hipposideros,SexualMaturityFemale,500,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Vespertilio_murinus,SexualMaturityFemale,730,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Miniopterus_schreibersii,SexualMaturityMale,730,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Myotis_daubentonii,SexualMaturityMale,730,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Myotis_emarginatus,SexualMaturityMale,456,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Myotis_myotis,SexualMaturityMale,502,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Myotis_mystacinus,SexualMaturityMale,456,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Nyctalus_noctula,SexualMaturityMale,455,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Pipistrellus_nathusii,SexualMaturityMale,91,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Pipistrellus_pipistrellus,SexualMaturityMale,456,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Plecotus_auritus,SexualMaturityMale,365,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rhinolophus_euryale,SexualMaturityMale,821,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rhinolophus_ferrumequinum,SexualMaturityMale,730,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Rhinolophus_hipposideros,SexualMaturityMale,471,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
Vespertilio_murinus,SexualMaturityMale,730,NA,NA,NA,NA,days,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",NA,NA,NA
