,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,Short ref,Full ref,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
35,Myotis_myotis,BasalMetabolicRatePerc,100.44,NA,NA,NA,NA,%,NA,individual,NA,Hanus (1959),"Hanus, K. (1959) Body temperatures and metabolism in bats at different environmental temperatures. Physiol Bohemoslov, 8, 250-259.",Body_mass(g):_25,NA,NA
36,Myotis_myotis,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Harmata (1987),"Harmata,W. (1987) The frequency of winter sleep interruptions in two species of bats hibernating in limestone tunnels. Acta Theriologica 32, 331â€“332.",Body_mass(g):_25,NA,NA
37,Myotis_myotis,MinBodyTemp,2,NA,NA,NA,NA,˚C,NA,individual,NA,Pohl (1961),"Pohl, H. (1961) Temperaturregulation und Tagesperiodik des Stoffwechsels bei Winterschl.fern. Zeitschrift fuÌˆr vergleichende Physiologie 45, 109â€“153.",Body_mass(g):_25,NA,NA
38,Myotis_myotis,MaxTorporBoutDuration,2352,NA,NA,NA,NA,h,NA,individual,Poland,Harmata (1987),"Harmata,W. (1987) The frequency of winter sleep interruptions in two species of bats hibernating in limestone tunnels. Acta Theriologica 32, 331â€“332.",Body_mass(g):_25,NA,NA
39,Myotis_myotis,MeanTorporBoutDuration,988.8,142.08,0.14,Mean,NA,h,55,individual,Poland,Harmata (1987),"Harmata,W. (1987) The frequency of winter sleep interruptions in two species of bats hibernating in limestone tunnels. Acta Theriologica 32, 331â€“332.",Body_mass(g):_25,NA,NA
40,Myotis_mystacinus,BasalMetabolicRate,6.51,0.31,0.05,Mean,NA,ml O2/h,4,individual,Norway,SkÃ¥ra et al. submitted,New unpublished data,Body_mass(g):_4.4,NA,NA
41,Myotis_nattereri,BasalMetabolicRate,7.84,NA,NA,Mean,respiratometry,ml O2/h,17,individual,NA,Becker et al. (2012),"Becker, N.I., EncarnaÃ§Ã£o, J.A., Kalko, E.K., & Tschapka, M., (2012) The effects of reproductive state on digestive efficiency in three sympatric bat species of the same guild. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 162, 386â€“390.",Body_mass(g):_7.6,NA,Quality:_Rejected
42,Myotis_nattereri,BasalMetabolicRatePerc,75.03,NA,NA,Mean,respiratometry,%,17,individual,NA,Becker et al. (2012),"Becker, N.I., EncarnaÃ§Ã£o, J.A., Kalko, E.K., & Tschapka, M., (2012) The effects of reproductive state on digestive efficiency in three sympatric bat species of the same guild. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 162, 386â€“390.",Body_mass(g):_7.6,NA,Quality:_Rejected
43,Myotis_nattereri,BasalMetabolicRate,8.7,NA,NA,Mean,NA,ml O2/h,18,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Body_mass(g):_7.1,NA,Quality:_Accepted
44,Myotis_nattereri,BasalMetabolicRatePerc,87.5,NA,NA,Mean,NA,%,18,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Body_mass(g):_7.1,NA,Quality:_Accepted
