,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,Short ref,Full ref,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
107,Vespertilio_murinus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Lithuania,Baranauskas et al. (2006),"Baranauskas, K., GrikienienÄ—, J., & Masing, M. (2006) Particoloured bat Vespertilio murinus (Chiroptera) found hibernating in Lithuania for the first time.Â Ekologija, (4), 31-33.",NA,NA,NA
121,Nyctalus_noctula,HeartRateTorpor,60,NA,NA,NA,NA,bpm,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1967) Heart rate of bats during lethargy and hibernation. ZEITSCHRIFT FUR VERGLEICHENDE PHYSIOLOGIE, 56(1), 63.",NA,NA,NA
122,Nyctalus_noctula,HeartRateTorpor,48,NA,NA,NA,NA,bpm,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1967) Heart rate of bats during lethargy and hibernation. ZEITSCHRIFT FUR VERGLEICHENDE PHYSIOLOGIE, 56(1), 63.",NA,NA,NA
123,Rousettus_aegyptiacus,HeartRateResting,248,3,0.01,NA,NA,bpm,NA,individual,Norway,Currie in press,Currie new unpublished data,NA,NA,NA
124,Rousettus_aegyptiacus,HeartRateFlight,444,5,0.01,NA,NA,bpm,NA,individual,Norway,Currie in press,Currie new unpublished data,NA,NA,NA
126,Myotis_bechsteinii,RestingMetabolicRate,9.6,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,Krapp (2001),"Krapp F (2001) Handbuch der Sa Ìˆ ugetiere Europas [Handbook of European mammals], vol 4/I. Aula, Wiebelsheim",Body_mass(g):_9.4,NA,NA
127,Myotis_nattereri,RestingMetabolicRate,8.7,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,Krapp (2001),"Krapp F (2001) Handbuch der Sa Ìˆ ugetiere Europas [Handbook of European mammals], vol 4/I. Aula, Wiebelsheim",Body_mass(g):_7.6,NA,NA
128,Plecotus_auritus,RestingMetabolicRate,9.5,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,Krapp (2004),"Krapp F (2004) Handbuch der Sa Ìˆ ugetiere Europas [Handbook of European mammals], vol 4/II. Aula, Wiebelsheim",Body_mass(g):_7.7,NA,NA
129,Pipistrellus_pipistrellus,RestingMetabolicRate,12.1,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,Krapp (2004),"Krapp F (2004) Handbuch der Sa Ìˆ ugetiere Europas [Handbook of European mammals], vol 4/II. Aula, Wiebelsheim",Body_mass(g):_6.6,NA,NA
130,Miniopterus_schreibersii,RestingMetabolicRate,2.4,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,de Magalhaes & Costa (2009),"de Magalhaes JP, Costa J (2009) A database of vertebrate longevity records and their relation to other life-history traits. J Evol Biol 22(8):1770â€“1774",Body_mass(g):_10.9,NA,NA
131,Myotis_bechsteinii,RestingMetabolicRate,9.05,NA,NA,Median,respiratometry,W kg-1,NA,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Range:_6.5-11.6,during pregnancy similar ot the post-lactating period,NA
132,Plecotus_auritus,RestingMetabolicRate,8.55,NA,NA,Median,respiratometry,W kg-1,NA,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Range:_7.3â€“9.8,during pregnancy similar ot the post-lactating period,NA
133,Myotis_nattereri,RestingMetabolicRate,6.25,NA,NA,Median,respiratometry,W kg-1,NA,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Range:_0.3-12.2,significantly lower median RMR in pregnancy than in post-lactation,NA
134,Myotis_nattereri,RestingMetabolicRate,8.4,NA,NA,Median,respiratometry,W kg-1,NA,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Range:_4.0-12.8,significantly lower median RMR in pregnancy than in post-lactation,NA
